respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
508,180109,26,R,Female,Yes,2,4,3,3,62,3,3,5
509,180109,12,U,Female,Yes,5,1,5,1,65,6,2,6
510,180109,51,S,Male,Yes,1,1,1,4,60,5,1,9
511,180109,13,U,Male,Yes,4,4,4,4,66,7,3,8
512,180109,17,U,Female,Yes,2,1,4,3,52,5,2,3
513,180109,55,S,Female,Yes,1,1,1,NaN,69,5,3,99
514,180109,40,R,Female,Yes,2,2,2,3,72,7,3,4
515,180109,47,S,Male,Yes,3,4,2,NaN,69,6,3,9
516,180109,28,S,Male,Yes,2,3,3,4,90,4,3,99
517,180109,17,S,Female,Yes,1,4,2,NaN,70,3,3,4
518,180109,48,R,Female,No,4,NaN,NaN,NaN,65,4,3,98
519,180109,48,U,Male,Yes,1,1,1,NaN,67,6,1,8
520,180109,48,R,Male,Yes,4,2,3,3,52,4,1,8
521,180109,48,U,Male,Yes,1,2,3,NaN,93,4,3,5
522,180109,48,S,Male,Yes,1,3,1,3,57,3,1,99
523,180109,37,S,Female,Yes,1,1,2,NaN,65,4,3,99
524,180109,9,R,Female,Yes,3,3,4,4,53,5,1,5
525,180109,36,S,Male,Yes,1,2,2,NaN,71,6,3,9
529,180109,27,S,Male,Yes,4,4,4,NaN,59,4,3,5
530,180109,18,S,Male,Yes,1,1,2,NaN,65,8,1,99
531,180109,17,R,Male,No,3,3,NaN,NaN,81,3,3,2
532,180109,26,U,Male,Yes,2,1,1,2,52,6,1,8
533,180109,37,U,Male,Yes,4,3,3,NaN,65,8,1,9
534,180109,48,R,Female,Yes,1,2,2,2,73,3,6,3
535,180109,21,S,Female,Yes,1,1,4,NaN,70,6,8,99
536,180109,8,U,Female,Yes,1,2,1,2,71,6,3,9
538,180109,4,S,Female,No,1,NaN,NaN,NaN,89,3,3,2
539,180109,53,S,Female,Yes,1,1,1,2,73,6,3,4
541,180109,6,S,Male,Yes,1,1,1,4,63,6,3,99
542,180109,47,R,Female,No,2,4,NaN,NaN,76,3,3,99
543,180109,1,R,Male,Yes,4,2,3,3,19,4,4,9
544,180109,31,S,Male,Yes,2,NaN,4,4,43,8,1,6
545,180109,17,S,Female,Yes,1,2,2,3,99,7,3,99
546,180109,29,R,Female,Yes,4,3,2,4,99,8,1,8
547,180109,22,S,Male,Yes,2,2,2,2,53,3,1,7
549,180109,22,R,Female,Yes,3,1,1,3,29,2,4,3
550,180109,8,S,Male,Yes,2,1,1,3,60,5,4,6
551,180109,35,U,Male,No,3,4,NaN,NaN,84,8,3,1
552,180109,8,R,Female,Yes,2,3,2,4,35,8,1,5
553,180109,6,R,Female,No,2,2,NaN,NaN,80,7,3,4
554,180109,6,S,Male,Yes,8,4,3,4,41,1,1,8
555,180109,6,U,Male,Yes,3,3,2,NaN,45,1,1,3
556,180109,6,S,Female,No,4,NaN,NaN,NaN,80,1,3,99
557,180110,36,R,Female,No,2,4,NaN,NaN,31,3,4,98
558,180110,13,S,Female,Yes,2,2,2,4,65,3,3,3
560,180110,34,U,Female,No,2,3,NaN,NaN,82,2,3,98
562,180110,36,S,Female,Yes,1,1,1,NaN,42,7,1,9
563,180110,25,R,Male,Yes,1,4,2,NaN,30,3,1,5
564,180110,36,S,Male,Yes,3,3,3,4,53,3,1,6
566,180110,29,U,Female,Yes,3,1,1,3,49,7,1,9
568,180110,17,S,Female,Yes,2,1,1,NaN,66,8,3,99
570,180110,48,U,Female,Yes,1,4,4,NaN,71,4,3,99
571,180110,27,R,Male,No,1,3,NaN,NaN,68,3,3,2
572,180110,27,R,Male,Yes,3,1,1,3,66,6,1,8
573,180110,39,U,Female,Yes,2,2,2,4,58,7,1,8
575,180110,26,S,Female,No,2,4,NaN,NaN,87,4,3,4
576,180110,39,S,Male,Yes,4,4,2,4,67,6,1,8
577,180110,13,U,Female,No,1,2,NaN,NaN,68,6,3,7
578,180110,24,S,Male,Yes,4,1,1,2,34,6,1,8
579,180110,51,S,Male,No,4,NaN,NaN,NaN,60,4,2,98
580,180110,12,U,Male,Yes,4,1,2,4,55,6,2,5
582,180110,37,U,Female,Yes,4,2,4,NaN,39,4,4,99
583,180110,21,R,Male,Yes,4,4,2,4,40,7,1,99
584,180110,36,S,Male,No,4,5,NaN,NaN,71,3,3,98
585,180110,48,U,Male,Yes,1,4,4,NaN,87,7,3,98
586,180110,42,S,Female,Yes,2,1,1,2,39,7,1,8
587,180110,6,S,Male,Yes,1,1,4,4,58,1,6,1
588,180110,6,U,Female,Yes,2,NaN,1,2,99,3,4,98
592,180110,6,S,Female,No,4,4,NaN,NaN,75,2,3,1
595,180110,6,S,Female,Yes,1,4,3,NaN,30,99,99,99
596,180110,6,S,Female,Yes,2,2,1,NaN,63,6,1,9
597,180110,53,S,Female,No,2,NaN,NaN,NaN,81,3,3,99
598,180110,6,U,Female,Yes,1,1,1,1,52,6,1,6
599,180110,55,U,Male,Yes,1,1,1,2,62,6,3,8
600,180110,48,R,Male,No,1,NaN,NaN,NaN,50,5,3,2
602,180110,28,R,Male,Yes,2,4,2,3,59,6,2,8
603,180110,55,S,Male,Yes,4,2,4,4,53,4,5,99
604,180110,17,R,Male,Yes,1,4,4,NaN,46,2,4,6
605,180110,17,S,Male,Yes,2,4,3,NaN,81,6,3,6
606,180110,49,S,Male,Yes,1,3,2,4,67,7,2,6
607,180110,6,U,Female,Yes,1,4,1,3,62,4,1,6
608,180110,6,U,Male,Yes,1,5,1,NaN,90,7,3,9
609,180110,6,S,Female,Yes,5,3,1,1,89,8,5,99
610,180110,6,S,Male,Yes,3,1,1,3,72,8,5,9
611,180110,49,R,Male,Yes,2,3,2,NaN,60,6,1,8
612,180110,6,U,Female,Yes,1,2,2,NaN,56,6,5,8
613,180110,6,S,Male,No,3,8,NaN,NaN,58,3,1,4
614,180110,6,U,Female,Yes,1,2,2,NaN,66,3,1,5
100002,180103,24,S,Male,Yes,3,2,1,NaN,76,6,3,3
100010,180103,18,U,Female,Yes,2,1,2,2,84,4,3,99
100011,180103,36,S,Male,Yes,1,4,1,NaN,75,5,3,9
100012,180103,37,U,Female,Yes,2,1,2,2,30,6,4,6
100013,180103,42,S,Male,Yes,4,4,4,4,40,6,1,8
100014,180103,26,U,Female,Yes,4,1,3,2,19,3,4,1
100015,180103,42,S,Female,Yes,2,3,2,4,38,3,1,3
100016,180103,12,S,Male,Yes,4,4,4,4,60,8,4,4
100019,180103,13,U,Male,Yes,3,1,1,3,30,7,4,7
100023,180103,37,R,Male,Yes,1,5,5,4,63,8,5,8
100024,180103,36,U,Male,No,3,3,NaN,NaN,77,3,3,6
100026,180103,51,S,Male,Yes,1,1,1,3,72,6,1,9
100027,180103,42,S,Male,Yes,2,1,1,2,18,2,2,8
100030,180103,26,S,Male,Yes,5,5,5,1,65,4,5,8
100031,180103,51,S,Male,Yes,2,2,1,NaN,71,8,3,9
100033,180103,12,U,Male,Yes,1,1,1,2,28,7,1,8
100036,180103,45,S,Male,No,4,1,NaN,NaN,63,2,6,2
100038,180103,18, ,Female,Yes,1,1,1,3,99,3,2,2
100039,180103,45, ,Male,No,4,4,NaN,NaN,29,99,4,2
100040,180103,45,S,Female,Yes,3,5,5,2,40,5,1,8
100042,180103,36,U,Male,Yes,1,1,1,2,27,6,1,5
100044,180103,39,U,Female,Yes,2,5,5,3,99,3,1,4
100047,180103,33,R,Male,Yes,4,2,1,NaN,41,7,1,6
100050,180103,13,U,Female,Yes,3,1,1,2,23,7,1,3
100051,180103,13,U,Female,Yes,1,3,3,NaN,66,5,3,3
100052,180103,36,U,Female,Yes,4,1,1,3,62,8,1,9
100053,180103,13,U,Male,Yes,1,1,1,2,70,6,3,8
100055,180104,48,S,Male,Yes,2,2,1,4,36,6,1,7
100056,180104,12,S,Male,Yes,4,1,1,4,36,6,1,1
100057,180103,26,S,Male,Yes,2,1,1,4,23,6,4,9
100061,180108,34, ,Female,Yes,4,2,2,4,38,4,2,4
100062,180103,25,S,Female,Yes,6,2,1,3,40,7,1,8
100063,180103,45,U,Male,Yes,2,5,1,4,27,6,1,7
100067,180103,39,S,Female,Yes,3,1,1,1,35,5,1,5
100068,180103,47,S,Male,Yes,1,1,1,4,36,3,6,1
100071,180103,26,U,Male,Yes,2,1,1,4,21,3,4,2
100072,180103,39,S,Female,Yes,1,2,2,3,49,4,1,7
100073,180103,24,S,Male,Yes,2,2,3,3,46,6,1,9
100074,180103,36,U,Male,Yes,6,1,1,NaN,56,2,1,3
100075,180104,37, ,Male,Yes,1,1,4,NaN,40,99,99,99
100076,180103,12,S,Male,Yes,4,4,2,4,18,3,2,5
100077,180103,26,R,Male,Yes,3,2,4,4,67,7,3,8
100079,180103,54,R,Male,Yes,1,1,1,4,68,3,3,7
100080,180103,34, ,Female,Yes,1,1,1,NaN,50,7,3,8
100081,180103,21,S,Male,Yes,2,3,3,NaN,50,2,5,7
100083,180103,53,U,Male,Yes,2,2,5,3,29,6,4,7
100084,180103,25, ,Female,Yes,2,1,2,2,24,6,1,99
100085,180103,9,U,Female,Yes,4,1,4,3,23,3,1,98
100086,180103,12,U,Male,No,1,4,4,NaN,80,3,3,2
100087,180107,42,U,Female,Yes,2,1,2,NaN,64,4,3,4
100090,180103,39,S,Male,Yes,6,1,1,3,65,7,1,6
100091,180103,36,U,Male,Yes,1,2,2,4,77,3,3,6
100092,180103,18,S,Male,Yes,4,1,1,NaN,55,6,5,1
100095,180103,24,S,Male,Yes,1,2,1,NaN,62,6,1,7
100096,180103,6,U,Male,Yes,2,1,2,2,48,6,3,9
100098,180103,24,S,Female,Yes,4,1,1,2,36,3,1,7
100099,180103,12,S,Male,Yes,4,1,1,1,18,5,4,7
100102,180103,11,U,Female,Yes,1,1,1,1,41,3,1,99
100105,180103,12, ,Female,No,2,1,NaN,NaN,88,6,4,98
100108,180103,25,S,Female,Yes,4,2,1,2,25,6,4,6
100109,180103,24,S,Female,Yes,2,1,1,NaN,56,3,1,98
100111,180103,24, ,Female,Yes,3,4,4,NaN,46,2,4,98
100114,180103,26,S,Male,No,2,2,NaN,NaN,77,5,3,4
100116,180106,48,S,Male,Yes,2,2,3,4,51,7,1,8
100117,180103,36,U,Male,Yes,3,1,1,2,34,6,1,9
100118,180103,12,S,Male,Yes,1,3,2,4,29,2,1,3
100119,180103,37,R,Female,Yes,1,1,1,NaN,64,7,3,7
100120,180103,13,U,Female,Yes,1,1,2,NaN,52,1,2,98
100126,180103,12,S,Female,Yes,1,2,1,2,65,6,1,7
100127,180104,12,U,Female,Yes,1,1,1,3,55,6,2,99
100130,180103,36,S,Female,Yes,1,1,2,3,48,6,1,8
100131,180103,11,U,Female,Yes,4,1,1,1,24,6,1,7
100133,180103,45,U,Male,Yes,3,1,1,3,21,5,1,4
100134,180103,36,U,Female,No,1,1,NaN,NaN,59,1,4,1
100135,180103,42,S,Female,Yes,4,2,1,2,27,5,1,7
100136,180103,51, ,Male,Yes,3,4,4,NaN,75,3,3,8
100137,180103,21,U,Female,Yes,4,1,1,4,56,5,2,3
100138,180103,36,U,Male,No,4,4,NaN,NaN,81,4,2,3
100143,180103,12,R,Male,Yes,1,2,1,2,59,3,4,1
100147,180103,21,R,Male,Yes,3,1,1,3,55,4,4,6
100150,180103,34, ,Male,Yes,4,1,1,2,30,4,2,99
100153,180103,9,S,Female,Yes,2,2,2,2,28,2,4,4
100155,180103,45,U,Male,Yes,1,2,2,NaN,75,3,3,2
100156,180103,51, ,Male,Yes,3,2,2,3,30,4,4,98
100157,180103,34,S,Female,Yes,4,1,2,4,29,7,1,6
100158,180103,39,S,Male,Yes,1,1,1,3,51,6,1,8
100160,180103,13,S,Male,Yes,4,2,4,NaN,44,1,1,8
100165,180103,48,U,Male,Yes,2,1,1,2,50,6,1,99
100166,180103,12,U,Female,Yes,1,1,1,2,35,6,8,3
100167,180103,8,U,Male,Yes,4,1,1,3,28,7,7,98
100169,180103,36,U,Female,Yes,4,1,1,2,22,7,7,98
100170,180103,12,R,Male,Yes,1,3,3,3,51,4,1,7
100172,180103,21,U,Female,Yes,4,1,1,2,38,8,1,6
100173,180103,39,R,Male,Yes,4,4,4,4,20,3,1,5
100174,180103,50,S,Female,Yes,3,2,1,4,66,5,3,6
100175,180103,33,S,Male,Yes,1,1,2,NaN,57,5,1,8
100176,180103,28,R,Male,Yes,1,1,3,4,46,2,1,4
100178,180103,17,S,Male,No,2,2,2,3,22,6,7,1
100179,180103,17,S,Male,Yes,2,4,2,NaN,52,4,1,6
100181,180104,13,S,Male,Yes,3,1,2,3,18,3,4,7
100182,180106,47,R,Male,No,1,1,NaN,NaN,61,3,4,2
100185,180103,22,U,Female,Yes,4,1,1,3,19,4,2,7
100186,180103,48,S,Female,Yes,1,1,1,2,66,8,3,7
100187,180103,19,U,Male,Yes,3,1,2,3,20,4,1,9
100188,180103,22,U,Male,Yes,4,2,1,2,19,3,2,3
100189,180103,27,R,Male,No,2,4,NaN,NaN,82,4,3,99
100190,180103,48,U,Female,Yes,3,1,1,1,19,3,2,98
100192,180103,48,U,Female,No,1,3,6,NaN,58,4,1,4
100194,180103,29,R,Male,Yes,1,2,4,4,27,2,1,7
100196,180103,1,R,Female,Yes,6,1,2,4,52,3,3,2
100199,180103,48,U,Female,Yes,3,1,1,2,28,4,1,4
100202,180103,22,R,Female,Yes,4,3,2,4,36,2,4,4
100203,180103,26,U,Female,Yes,3,1,1,2,31,8,1,99
100204,180103,48,U,Male,Yes,4,2,1,2,51,7,1,8
100205,180103,48,U,Male,Yes,3,2,3,3,46,4,1,5
100206,180103,17,U,Male,Yes,1,1,2,2,48,4,4,1
100208,180103,55,R,Male,No,4,4,NaN,NaN,62,2,1,1
100210,180103,27,S,Female,Yes,3,2,2,NaN,34,4,2,2
100211,180108,29,R,Male,Yes,3,1,1,NaN,63,5,1,8
100214,180103,31,R,Male,No,1,1,NaN,NaN,74,3,3,2
100216,180103,27,S,Female,Yes,1,1,1,2,47,6,1,9
100217,180110,1, ,Female,No,1,1,NaN,NaN,86,1,3,99
100218,180103,5,U,Male,Yes,3,2,3,2,26,6,1,3
100219,180103,17,R,Female,Yes,1,1,2,2,54,4,1,2
100220,180103,48,U,Male,No,4,6,NaN,NaN,55,3,4,1
100221,180103,40,R,Male,Yes,4,3,3,NaN,63,7,3,7
100222,180103,40,U,Male,Yes,2,1,1,4,52,4,1,7
100223,180103,46,R,Female,Yes,1,1,1,3,57,1,1,4
100227,180103,27,R,Female,Yes,3,1,1,2,46,7,1,9
100228,180103,48, ,Male,Yes,1,2,2,2,54,6,1,99
100229,180103,28,U,Female,Yes,4,5,5,4,21,3,2,1
100232,180103,17,S,Male,Yes,2,3,1,NaN,74,4,3,99
100233,180103,26,U,Male,Yes,4,2,2,NaN,29,6,1,4
100234,180103,48,U,Female,Yes,2,1,2,2,66,3,3,5
100235,180103,48,S,Male,Yes,2,1,1,NaN,54,6,1,9
100236,180107,47, ,Male,No,1,2,4,4,55,3,1,99
100238,180103,17,U,Male,Yes,2,1,1,2,22,3,4,2
100239,180103,40,S,Male,No,4,4,NaN,NaN,61,8,3,99
100240,180103,48,U,Male,Yes,4,1,1,4,60,2,3,5
100241,180103,22,R,Female,Yes,1,1,2,2,65,6,3,8
100242,180103,18,S,Female,Yes,1,1,2,NaN,61,7,1,9
100244,180103,17,U,Female,Yes,4,2,4,NaN,43,4,4,1
100246,180106,22, ,Male,No,1,1,NaN,NaN,65,5,3,99
100247,180103,48,R,Female,Yes,1,1,1,3,84,4,3,99
100248,180103,27,S,Female,Yes,1,1,1,2,74,8,3,8
100249,180103,48, ,Male,Yes,2,1,1,4,31,6,1,99
100251,180103,29, ,Male,Yes,4,2,4,NaN,38,4,1,99
100252,180103,27,U,Male,No,4,1,NaN,4,57,2,4,3
100253,180105,55,U,Male,Yes,1,2,2,2,35,3,1,3
100254,180103,40,S,Male,Yes,2,2,2,4,65,3,1,8
100255,180103,48,S,Male,Yes,2,2,2,4,55,5,1,8
100256,180103,48,U,Male,Yes,3,2,2,3,29,3,1,9
100257,180103,48,S,Male,Yes,1,1,2,2,23,5,2,98
100259,180103,28,R,Male,Yes,4,4,4,4,66,8,3,9
100260,180103,55,U,Male,Yes,3,2,3,NaN,50,2,1,3
100261,180103,48,U,Female,Yes,2,1,1,NaN,38,3,4,4
100264,180103,17,S,Male,Yes,4,2,4,4,20,3,2,6
100266,180103,55,U,Male,Yes,2,2,2,NaN,25,6,2,3
100267,180103,48,U,Male,Yes,4,1,1,4,58,7,3,6
100269,180103,47,U,Male,Yes,3,1,1,1,23,6,5,6
100270,180103,11,U,Male,Yes,1,1,1,4,28,6,1,4
100271,180103,51,R,Female,Yes,1,1,1,4,64,8,1,99
100272,180103,21,R,Male,Yes,4,4,4,4,58,5,3,4
100273,180103,12,U,Female,Yes,1,2,1,1,59,7,3,8
100274,180107,36, ,Female,Yes,6,4,4,NaN,21,3,2,99
100276,180103,36,U,Male,Yes,1,1,1,3,26,3,2,9
100277,180103,37, ,Male,No,4,6,NaN,NaN,88,1,3,2
100279,180103,21, ,Male,Yes,1,5,5,4,26,4,1,3
100280,180103,51,U,Male,Yes,4,5,5,2,22,6,2,8
100283,180103,39,U,Male,Yes,2,1,2,2,30,6,1,98
100285,180103,12, ,Male,Yes,3,2,1,NaN,68,8,1,99
100286,180103,8,U,Female,Yes,3,2,2,3,21,4,4,6
100291,180103,4,S,Female,Yes,1,3,3,3,70,3,3,6
100293,180103,21,S,Female,Yes,1,3,1,1,51,3,1,3
100295,180103,37,U,Male,Yes,1,2,4,4,74,5,2,7
100297,180103,42,U,Female,Yes,4,1,1,1,41,6,6,8
100299,180103,25,U,Male,Yes,4,3,4,NaN,50,5,1,6
100300,180103,42,S,Female,Yes,3,2,1,4,47,8,1,9
100301,180103,37,U,Female,Yes,2,1,1,3,38,8,1,7
100302,180103,53,U,Male,Yes,1,1,1,2,33,6,1,9
100303,180103,47,U,Male,Yes,2,1,4,4,28,3,4,2
100304,180103,12,S,Male,Yes,4,1,1,3,60,6,1,9
100305,180109,48,U,Female,No,1,1,NaN,2,68,3,4,98
100306,180103,13,S,Male,Yes,3,2,1,NaN,67,7,3,5
100307,180103,12,U,Female,Yes,1,1,1,4,71,7,3,4
100308,180103,39,S,Male,Yes,1,5,1,2,29,5,1,6
100310,180103,39,R,Male,Yes,6,2,1,3,18,3,2,4
100311,180103,36,S,Male,Yes,3,1,1,1,27,5,2,5
100313,180103,26,R,Male,Yes,4,1,1,3,37,6,1,6
100314,180103,45,U,Male,Yes,1,1,1,NaN,59,7,1,9
100317,180103,1,S,Male,Yes,1,2,2,NaN,49,5,1,9
100319,180103,37,S,Female,Yes,2,1,4,4,28,3,1,98
100320,180110,48,S,Male,No,2,4,NaN,NaN,67,4,3,99
100322,180103,36,S,Male,Yes,4,2,1,4,40,8,1,8
100324,180103,25,S,Male,Yes,1,1,1,1,29,6,1,99
100326,180103,24,U,Male,Yes,3,5,5,4,32,5,1,8
100327,180103,44,S,Female,Yes,2,1,1,4,56,8,1,9
100329,180103,12,U,Male,Yes,4,4,4,NaN,20,3,4,1
100330,180103,26,S,Male,Yes,1,1,1,NaN,30,6,1,9
100331,180103,34,S,Male,Yes,4,3,3,4,21,3,1,9
100333,180103,36,S,Female,Yes,2,1,1,2,65,7,2,5
100336,180103,18,S,Male,Yes,3,1,1,2,20,5,2,9
100337,180103,12,U,Male,Yes,5,5,5,4,39,5,1,7
100338,180105,48,R,Male,Yes,4,1,2,2,24,6,7,7
100339,180103,51, ,Male,Yes,6,1,4,NaN,25,5,4,2
100340,180103,36,S,Female,Yes,2,1,2,3,60,6,1,3
100341,180103,25,S,Female,Yes,3,2,1,1,45,3,4,3
100342,180103,45,U,Female,Yes,4,1,3,3,53,4,2,1
100343,180103,39,R,Female,Yes,4,3,2,4,21,5,2,3
100344,180103,34,S,Female,Yes,3,1,1,1,19,4,2,5
100345,180103,37,S,Male,Yes,3,3,3,3,51,3,1,6
100346,180103,39,S,Male,Yes,1,1,2,3,22,3,2,3
100347,180103,37,U,Female,Yes,3,1,1,3,65,6,2,5
100348,180103,39,S,Male,Yes,3,4,2,4,57,3,1,9
100350,180107,37,U,Male,Yes,4,1,3,3,18,3,4,2
100352,180103,42,S,Male,Yes,2,1,1,4,70,7,3,7
100353,180103,8,S,Female,Yes,2,1,1,2,54,7,2,9
100355,180103,26,R,Male,Yes,5,1,2,4,55,5,1,6
100356,180103,26, ,Male,Yes,4,4,6,NaN,24,3,4,99
100360,180103,48,U,Male,Yes,3,1,1,2,51,5,6,99
100361,180103,40,R,Male,Yes,4,1,1,4,49,2,1,6
100362,180103,22,U,Female,Yes,2,1,3,2,38,3,1,3
100363,180103,22,U,Female,No,1,1,NaN,NaN,67,4,3,1
100365,180103,29,U,Female,Yes,1,1,1,2,56,6,3,8
100366,180103,48,U,Female,Yes,1,1,1,1,30,6,1,99
100368,180103,1, ,Male,Yes,4,1,1,1,38,1,2,2
100370,180103,17,R,Female,Yes,1,1,1,1,32,3,1,5
100372,180103,48,U,Male,Yes,1,1,1,3,41,7,1,9
100373,180103,47,U,Male,Yes,1,1,1,3,41,6,1,9
100374,180103,27,U,Female,Yes,1,1,1,1,27,6,1,4
100375,180103,40,S,Female,Yes,1,1,1,2,75,4,6,2
100376,180103,2,R,Female,No,1,1,NaN,NaN,61,5,4,3
100379,180103,27,S,Female,Yes,2,1,1,1,68,7,2,6
100382,180103,48,S,Female,Yes,1,1,1,2,31,4,2,5
100383,180103,29,U,Female,Yes,1,2,1,2,62,2,3,1
100386,180103,47,U,Male,Yes,1,1,1,4,39,5,1,5
100389,180103,18,S,Male,Yes,1,2,2,3,63,4,3,5
100391,180103,17,U,Female,Yes,1,1,1,1,70,6,3,98
100393,180103,27,U,Male,Yes,1,1,1,2,72,6,3,6
100394,180103,17,S,Male,Yes,1,1,4,NaN,47,4,6,2
100396,180103,40,S,Male,Yes,2,2,2,3,65,6,3,8
100397,180103,17,S,Male,Yes,2,2,1,NaN,60,4,1,7
100399,180103,2,U,Male,Yes,3,1,1,NaN,49,7,1,9
100400,180103,1,U,Female,Yes,1,1,4,4,63,4,3,1
100401,180103,55,U,Male,Yes,4,2,1,4,27,6,1,6
100402,180103,19, ,Male,Yes,1,1,2,4,56,6,2,1
100403,180103,22,U,Male,Yes,2,2,2,4,36,5,5,3
100404,180103,20,S,Male,Yes,1,1,1,1,36,6,1,8
100405,180103,48, ,Male,No,4,4,NaN,NaN,68,4,1,98
100407,180103,28,R,Female,No,1,1,NaN,NaN,76,4,3,3
100408,180103,1,U,Female,No,2,2,4,NaN,81,4,3,1
100409,180103,5, ,Male,No,1,1,1,2,25,1,1,98
100411,180103,22,R,Male,No,3,1,NaN,NaN,50,1,4,1
100412,180103,2,S,Female,Yes,1,1,1,1,42,8,1,9
100414,180103,35,U,Female,Yes,3,1,1,2,21,4,2,9
100416,180103,49,S,Male,Yes,2,2,2,NaN,62,4,3,3
100417,180103,8,U,Male,Yes,1,1,1,3,19,4,1,6
100418,180103,4,U,Male,Yes,2,2,1,3,45,4,2,1
100419,180103,48, ,Male,Yes,1,4,4,4,45,3,1,99
100420,180103,8,S,Male,Yes,1,1,3,3,43,3,1,8
100421,180104,4, ,Male,No,4,3,NaN,NaN,57,1,1,2
100424,180103,16,R,Male,No,1,4,4,NaN,36,3,6,1
100427,180103,16,R,Male,Yes,3,2,4,NaN,51,3,1,4
100430,180103,4,U,Male,Yes,2,3,3,3,64,4,3,3
100431,180103,8,S,Female,Yes,3,2,1,NaN,54,6,1,8
100432,180103,4,U,Female,Yes,1,1,1,1,56,6,3,7
100433,180103,49,R,Female,Yes,4,1,1,3,55,8,2,6
100434,180103,4,U,Male,Yes,3,2,1,4,33,3,1,1
100435,180103,30,R,Female,Yes,6,2,1,3,61,7,2,6
100440,180103,4,S,Male,Yes,2,2,1,NaN,29,4,1,6
100441,180103,49,S,Female,Yes,3,3,4,3,54,5,6,3
100442,180103,6,S,Female,No,4,3,NaN,2,79,6,3,4
100443,180103,6,S,Male,Yes,3,1,2,3,66,6,3,5
100445,180103,6,S,Male,No,1,1,NaN,NaN,84,1,3,99
100446,180103,4,U,Male,No,1,1,1,NaN,46,3,1,3
100447,180103,6,R,Male,No,2,1,NaN,NaN,69,4,3,7
100448,180103,41,S,Female,Yes,2,1,1,3,65,4,3,6
100450,180103,53,S,Male,Yes,3,2,2,3,60,4,1,9
100452,180103,6,S,Male,No,4,2,4,NaN,55,3,1,9
100455,180103,6,U,Male,Yes,3,1,1,2,34,3,1,5
100457,180103,53,U,Male,Yes,2,2,2,2,75,7,2,99
100458,180103,6,S,Male,Yes,2,2,1,4,46,6,1,8
100459,180103,6,U,Female,Yes,1,1,1,4,71,4,3,3
100460,180103,6,U,Female,Yes,4,1,1,1,28,7,4,6
100461,180104,32,S,Male,Yes,6,2,2,NaN,25,3,1,4
100462,180103,6,S,Male,Yes,4,4,4,4,61,4,3,2
100463,180103,6,S,Female,Yes,1,2,1,3,27,6,1,3
100464,180103,6,U,Male,Yes,6,2,6,1,40,4,99,1
100466,180106,6,U,Female,Yes,4,1,1,2,33,6,1,4
100467,180103,6,S,Male,Yes,1,1,1,1,22,4,1,4
100468,180103,6,S,Female,Yes,2,1,1,NaN,20,4,4,5
100469,180103,41,S,Male,Yes,4,4,4,4,23,3,1,99
100470,180103,6,U,Male,Yes,4,3,3,3,31,4,1,9
100471,180103,6, ,Male,Yes,3,1,1,1,18,2,1,6
100472,180103,6, ,Female,No,3,1,6,NaN,46,4,1,1
100473,180103,41,U,Male,Yes,4,4,4,4,66,5,1,4
100474,180103,6,U,Female,Yes,5,5,1,5,54,6,4,6
100475,180103,21,U,Male,Yes,4,2,4,4,40,3,1,4
100476,180103,32,U,Male,Yes,6,1,1,NaN,60,4,5,4
100477,180103,41,S,Male,Yes,3,3,3,3,27,6,1,9
100479,180103,12,S,Male,Yes,6,3,4,NaN,42,6,2,8
100480,180103,6,S,Female,Yes,1,4,4,4,45,2,1,4
100481,180103,6,U,Male,Yes,1,1,1,NaN,34,3,1,3
100482,180103,6,U,Female,Yes,3,1,1,NaN,38,6,4,7
100483,180103,6, ,Male,Yes,1,1,1,2,18,6,2,99
100484,180103,6,S,Female,Yes,1,1,1,2,60,6,3,9
100485,180103,6,S,Male,Yes,2,1,2,3,41,3,1,8
100486,180103,6,U,Female,Yes,2,1,1,NaN,57,3,6,2
100487,180103,6,S,Male,Yes,4,2,2,NaN,47,3,1,4
100489,180103,53,R,Female,Yes,4,1,1,3,33,1,1,1
100490,180103,6,S,Female,Yes,2,8,4,NaN,72,3,3,2
100491,180103,41, ,Female,No,4,2,4,NaN,40,1,4,99
100492,180104,53, ,Female,Yes,2,1,1,2,50,4,1,3
100493,180103,6,S,Female,Yes,4,1,1,3,51,6,1,9
100494,180103,6, ,Female,Yes,4,3,3,4,20,6,1,2
100495,180103,6, ,Male,No,4,4,2,4,45,98,1,2
100496,180103,6,U,Female,Yes,3,1,2,3,40,3,2,3
100497,180103,41,R,Female,Yes,1,1,1,2,39,5,1,8
100498,180103,6,U,Male,Yes,2,3,2,3,52,4,3,99
100500,180103,53, ,Female,Yes,2,1,1,1,29,5,2,7
100502,180103,6,S,Male,Yes,4,1,1,3,63,7,1,99
100503,180103,6,U,Male,Yes,6,1,1,4,67,5,3,6
100504,180103,6,U,Female,Yes,3,1,1,3,47,6,1,8
100505,180103,6,U,Male,Yes,2,1,1,4,29,5,1,3
100506,180103,6,U,Female,Yes,2,1,5,1,45,6,1,3
100507,180103,6,S,Female,Yes,4,2,2,2,55,4,2,3
100508,180103,53,U,Female,Yes,4,1,2,2,20,4,4,2
100509,180103,41,S,Female,Yes,3,2,2,2,31,6,2,99
