respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
121,180103,48,R,Female,Yes,1,3,2,3,63,6,1,6
122,180103,19,R,Male,Yes,3,1,1,1,46,5,1,8
123,180103,17,S,Male,Yes,2,2,2,4,35,6,4,1
124,180103,55,U,Male,Yes,1,1,5,1,46,8,2,9
127,180103,17,S,Male,Yes,1,1,1,3,99,6,3,7
128,180103,5,R,Female,No,2,4,NaN,NaN,89,3,3,3
129,180103,17,S,Female,Yes,4,1,1,3,44,6,1,9
130,180103,28,R,Female,No,1,1,NaN,6,57,3,4,98
133,180103,17,S,Female,Yes,2,3,2,NaN,81,5,3,9
135,180103,48,R,Female,Yes,3,4,4,3,32,4,1,2
136,180103,17,R,Female,No,1,1,NaN,NaN,83,6,3,4
137,180103,48,U,Female,No,2,NaN,NaN,NaN,77,3,3,1
138,180103,29,S,Male,Yes,4,NaN,3,NaN,55,3,1,8
139,180103,48,S,Male,Yes,4,1,1,4,69,7,1,8
140,180103,27,S,Male,Yes,2,1,1,1,99,4,1,99
142,180103,27,R,Female,Yes,2,2,2,NaN,60,5,1,7
145,180103,20,U,Female,Yes,1,2,1,2,63,8,2,3
147,180103,19,U,Female,No,1,NaN,NaN,NaN,91,3,3,2
148,180103,48,S,Male,Yes,2,1,1,4,56,6,1,9
151,180103,38,R,Male,Yes,4,4,1,NaN,61,5,1,99
152,180103,27,S,Female,Yes,1,1,1,4,67,7,3,6
153,180103,48,R,Male,Yes,4,3,3,NaN,65,7,6,8
155,180103,22,R,Female,No,2,NaN,NaN,NaN,59,7,1,99
156,180103,29,S,Female,Yes,1,3,3,2,39,6,2,3
158,180103,48,S,Female,Yes,2,4,1,2,61,4,6,3
159,180103,22,S,Female,Yes,3,3,3,4,77,4,2,3
161,180103,30,R,Male,No,3,NaN,NaN,NaN,79,2,3,98
162,180103,4,S,Male,Yes,4,NaN,4,NaN,72,6,3,2
163,180103,4,U,Male,No,1,2,NaN,NaN,83,3,3,3
164,180103,31,R,Male,Yes,2,3,2,NaN,75,6,1,99
165,180103,4,U,Female,No,1,NaN,NaN,NaN,71,6,3,6
166,180103,4,U,Female,Yes,4,1,1,NaN,70,6,3,99
167,180110,6,S,Female,No,1,2,NaN,NaN,88,3,3,1
168,180103,6,S,Male,Yes,5,2,1,2,47,3,1,6
169,180103,6,U,Female,No,1,1,NaN,NaN,62,6,1,7
170,180103,6,S,Female,Yes,3,3,1,2,85,4,3,5
171,180103,6,U,Female,Yes,4,1,1,1,61,6,5,8
172,180103,6,S,Male,Yes,2,1,4,NaN,77,3,3,99
174,180106,53,S,Female,Yes,2,2,2,2,79,6,3,3
175,180103,6,U,Male,Yes,1,1,1,2,99,3,2,98
176,180103,6,S,Female,Yes,1,4,2,NaN,79,6,3,8
177,180103,41,S,Female,Yes,3,2,2,4,56,6,4,9
178,180103,41,R,Male,Yes,2,1,2,3,67,8,3,4
179,180103,6,S,Female,Yes,2,2,2,4,99,6,3,99
180,180107,53,S,Female,Yes,3,2,3,NaN,45,5,1,7
181,180103,6,R,Female,No,2,2,NaN,NaN,87,5,3,4
183,180103,6,U,Male,No,3,3,NaN,NaN,66,1,3,4
184,180103,53,U,Male,Yes,1,1,1,4,59,8,1,8
186,180103,53,U,Female,Yes,3,4,1,3,67,8,3,6
187,180103,2,U,Male,Yes,2,9,2,NaN,85,4,3,5
188,180103,6,S,Female,Yes,2,1,1,2,33,6,1,8
189,180104,36,S,Female,Yes,1,1,1,3,50,6,3,4
190,180104,13,S,Male,No,1,1,NaN,NaN,88,5,3,3
191,180104,33,R,Male,Yes,1,4,2,NaN,82,7,3,99
192,180104,39,S,Male,Yes,4,2,1,4,31,3,4,3
193,180104,51,S,Male,No,1,3,NaN,NaN,82,7,3,4
194,180104,26,S,Female,Yes,1,3,2,NaN,70,4,3,4
195,180104,51,S,Female,Yes,1,1,1,2,56,1,1,8
196,180104,36,S,Male,Yes,1,1,1,2,50,8,1,99
198,180104,36,U,Female,Yes,1,1,2,NaN,47,7,1,8
199,180104,26,U,Female,No,4,NaN,NaN,NaN,99,99,99,99
200,180104,36,S,Male,Yes,4,8,3,4,43,6,2,4
201,180104,34,S,Male,Yes,1,1,3,1,75,3,3,2
202,180104,50,R,Female,Yes,2,2,3,3,82,6,3,5
203,180105,9,S,Female,Yes,1,2,1,3,50,6,1,5
206,180104,36,S,Male,Yes,1,1,1,NaN,60,6,1,7
208,180104,37,S,Female,Yes,4,1,1,4,47,6,2,9
209,180104,54,S,Male,Yes,1,1,1,2,66,99,3,3
210,180107,36,U,Male,Yes,4,2,2,2,68,6,3,4
211,180104,37,U,Male,Yes,2,3,2,NaN,74,8,3,7
212,180107,25,S,Female,No,1,2,NaN,NaN,70,3,3,99
213,180104,34,U,Female,Yes,1,2,2,2,73,4,3,6
214,180104,12,S,Female,Yes,3,3,1,NaN,69,5,3,99
215,180104,36,S,Female,No,4,NaN,NaN,NaN,84,5,3,5
216,180104,42,S,Male,No,5,1,NaN,NaN,75,3,5,9
217,180104,39,S,Female,Yes,1,1,2,NaN,80,4,3,3
218,180104,18,U,Female,Yes,4,5,1,1,45,6,1,7
219,180104,42,S,Male,Yes,2,1,1,2,54,6,1,7
221,180104,24,S,Female,Yes,2,1,1,2,78,7,3,5
223,180104,36,S,Male,Yes,3,3,1,2,33,4,2,6
225,180104,36,U,Female,Yes,2,2,1,4,40,8,1,8
226,180104,36,S,Male,Yes,2,NaN,3,NaN,60,6,3,8
227,180104,36,S,Female,Yes,2,1,1,1,40,8,1,9
228,180104,42,S,Female,Yes,2,4,2,3,53,3,6,4
229,180104,26,U,Male,No,1,4,4,NaN,68,5,3,6
230,180104,26,S,Male,No,9,NaN,NaN,NaN,99,3,4,99
232,180104,51,S,Male,Yes,6,6,6,NaN,99,99,98,99
233,180104,24,U,Female,Yes,1,1,1,NaN,99,6,1,7
234,180104,21,R,Female,Yes,1,1,1,2,23,3,4,2
235,180104,29,R,Female,No,1,4,4,NaN,78,2,3,2
236,180104,19,S,Male,No,3,1,NaN,NaN,63,6,3,7
238,180104,48,U,Female,No,2,NaN,NaN,NaN,62,3,3,99
239,180104,48,R,Male,Yes,2,2,2,NaN,60,6,5,7
240,180104,1,S,Female,No,1,1,NaN,NaN,82,3,4,3
